捕获开始时间: 2025-04-18 17:32:33
过滤条件: 无
----------------------------------------
捕获时间        | 源IP           | 目的IP        | 协议          | 源端口 | 目的端口 | 数据包大小
2025-04-18 17:32:37 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 282       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 146       
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 146       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 258       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv6            | 0     | 0     | 95        
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv6            | 0     | 0     | 96        
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 146       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 170       
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/UDP        | 34724 | 4443  | 75        
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 178       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/UDP        | 4443  | 34724 | 76        
2025-04-18 17:32:38 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:38 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 386       
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 146       
2025-04-18 17:32:39 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 146       
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:39 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 306       
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:39 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 146       
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:39 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:39 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 178       
2025-04-18 17:32:39 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:39 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:39 | 39.144.58.80    | 10.1.219.177    | IPv4/UDP        | 49626 | 4443  | 75        
2025-04-18 17:32:39 | 10.1.219.177    | 39.144.58.80    | IPv4/UDP        | 4443  | 49626 | 75        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 330       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 178       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 386       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 146       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 282       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 170       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 306       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 258       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 306       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 146       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 482       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 178       
2025-04-18 17:32:40 | 39.144.58.80    | 10.1.219.177    | IPv4/UDP        | 49626 | 4443  | 75        
2025-04-18 17:32:40 | 39.144.58.80    | 10.1.219.177    | IPv4/UDP        | 49626 | 4443  | 75        
2025-04-18 17:32:40 | 10.1.219.177    | 39.144.58.80    | IPv4/UDP        | 4443  | 49626 | 76        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:40 | 205.210.31.170  | 10.1.219.177    | IPv4/TCP        | 51400 | 27015 | 58        
2025-04-18 17:32:40 | 10.1.219.177    | 205.210.31.170  | IPv4/TCP        | 27015 | 51400 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:40 | 39.144.58.80    | 10.1.219.177    | IPv4/UDP        | 49626 | 4443  | 75        
2025-04-18 17:32:40 | 39.144.58.80    | 10.1.219.177    | IPv4/UDP        | 49626 | 4443  | 75        
2025-04-18 17:32:40 | 10.1.219.177    | 39.144.58.80    | IPv4/UDP        | 4443  | 49626 | 78        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv6            | 0     | 0     | 95        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv6            | 0     | 0     | 95        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 250       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 186       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 170       
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:40 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv6            | 0     | 0     | 95        
2025-04-18 17:32:40 | 10.1.219.177    | 111.42.148.165  | IPv6            | 0     | 0     | 96        
